title,issn,quartile,year
Hematology (United States),1520-4383;1520-4391,Q1,2025
Hematology/Oncology Clinics of North America,0889-8588;1558-1977,Q1,2025
Hepatobiliary and Pancreatic Diseases International,1499-3872,Q1,2025
Hepatology,0270-9139;1527-3350,Q1,2025
Hepatology Communications,2471-254X,Q1,2025
Hepatology International,1936-0533;1936-0541,Q1,2025
Hepatology Research,1386-6346;1872-034X,Q1,2025
Hernia,1248-9204;1265-4906,Q1,2025
HIP International,1120-7000;1724-6067,Q1,2025
Histopathology,0309-0167;1365-2559,Q1,2025
HIV Medicine,1464-2662;1468-1293,Q1,2025
hLife,2949-9283,Q1,2025
Holistic Integrative Oncology,2731-4529,Q1,2025
Homicide Studies,1088-7679;1552-6720,Q1,2025
Hormone Research in Paediatrics,1663-2818;1663-2826,Q1,2025
Hospital Pediatrics,2154-1663;2154-1671,Q1,2025
HPB,1365-182X;1477-2574,Q1,2025
Human Brain Mapping,1065-9471;1097-0193,Q1,2025
Human Genetics,0340-6717;1432-1203,Q1,2025
Human Genetics and Genomics Advances,2666-2477,Q1,2025
Human Molecular Genetics,0964-6906;1460-2083,Q1,2025
Human Mutation,1059-7794;1098-1004,Q1,2025
Human Pathology,0046-8177;1532-8392,Q1,2025
Human Reproduction,0268-1161;1460-2350,Q1,2025
Human Reproduction Open,2399-3529,Q1,2025
Human Reproduction Update,1355-4786;1460-2369,Q1,2025
Human Resources for Health,1478-4491,Q1,2025
Human Vaccines and Immunotherapeutics,2164-5515;2164-554X,Q1,2025
Hypertension,0194-911X;1524-4563,Q1,2025
Hypertension Research,0916-9636;1348-4214,Q1,2025
IEEE Journal of Biomedical and Health Informatics,2168-2194;2168-2208,Q1,2025
"IEEE Journal of Electromagnetics, RF and Microwaves in Medicine and Biology",2469-7249,Q1,2025
IEEE Journal of Translational Engineering in Health and Medicine,2168-2372,Q1,2025
IEEE Transactions on Neural Systems and Rehabilitation Engineering,1534-4320;1558-0210,Q1,2025
Immune Network,1598-2629;2092-6685,Q1,2025
Immunity,1074-7613;1097-4180,Q1,2025
Immuno-Oncology and Technology,2590-0188,Q1,2025
ImmunoHorizons,2573-7732,Q1,2025
Immunological Reviews,0105-2896;1600-065X,Q1,2025
Immunology,0019-2805;1365-2567,Q1,2025
Implementation Science,1748-5908,Q1,2025
Implementation Science Communications,2662-2211,Q1,2025
Infancy,1525-0008;1532-7078,Q1,2025
Infant Mental Health Journal,0163-9641;1097-0355,Q1,2025
Infection,0300-8126;1439-0973,Q1,2025
Infection and Immunity,0019-9567;1098-5522,Q1,2025
Infection Control and Hospital Epidemiology,0899-823X;1559-6834,Q1,2025
Infectious Disease Clinics of North America,0891-5520;1557-9824,Q1,2025
Infectious Diseases and Therapy,2193-6382;2193-8229,Q1,2025
Infectious Diseases in Obstetrics and Gynecology,1064-7449;1098-0997,Q1,2025
Infectious Diseases of Poverty,2049-9957;2095-5162,Q1,2025
Infectious Medicine,2097-0684;2772-431X,Q1,2025
Inflammation,0360-3997;1573-2576,Q1,2025
Inflammation and Regeneration,1880-8190;1880-9693,Q1,2025
Inflammatory Bowel Diseases,1078-0998;1536-4844,Q1,2025
Inflammopharmacology,0925-4692;1568-5608,Q1,2025
Influenza and other Respiratory Viruses,1750-2640;1750-2659,Q1,2025
Informatics and Health,2949-9534,Q1,2025
Injury,0020-1383;1879-0267,Q1,2025
Insights into Imaging,1869-4101,Q1,2025
Integrated Environmental Assessment and Management,1551-3777;1551-3793,Q1,2025
Integrative Cancer Therapies,1534-7354;1552-695X,Q1,2025
Integrative Medicine Research,2213-4220;2213-4239,Q1,2025
Intelligent Medicine,2096-9376;2667-1026,Q1,2025
Intensive Care Medicine,0342-4642;1432-1238,Q1,2025
Intensive Care Medicine Experimental,2197-425X,Q1,2025
Interdisciplinary Medicine,2832-6237;2832-6245,Q1,2025
Internal and Emergency Medicine,1828-0447;1970-9366,Q1,2025
International Archives of Occupational and Environmental Health,0340-0131;1432-1246,Q1,2025
International Braz J Urol,1677-5538;1677-6119,Q1,2025
International Breastfeeding Journal,1746-4358,Q1,2025
International Forum of Allergy and Rhinology,2042-6976;2042-6984,Q1,2025
International Immunology,0953-8178;1460-2377,Q1,2025
International Immunopharmacology,1567-5769;1878-1705,Q1,2025
International Journal for Equity in Health,1475-9276,Q1,2025
International Journal of Alzheimer's Disease,2090-0252;2090-8024,Q1,2025
International Journal of Antimicrobial Agents,0924-8579;1872-7913,Q1,2025
International Journal of Behavioral Nutrition and Physical Activity,1479-5868,Q1,2025
International Journal of Bipolar Disorders,2194-7511,Q1,2025
International Journal of Cancer,0020-7136;1097-0215,Q1,2025
International Journal of Cardiology,0167-5273;1874-1754,Q1,2025
International Journal of Child Care and Education Policy,1976-5681;2288-6729,Q1,2025
International Journal of Clinical Oncology,1341-9625;1437-7772,Q1,2025
International Journal of Community Based Nursing and Midwifery,2322-2476;2322-4835,Q1,2025
International Journal of Consumer Studies,1470-6423;1470-6431,Q1,2025
International Journal of COPD,1176-9106;1178-2005,Q1,2025
International Journal of Dermatology,0011-9059;1365-4632,Q1,2025
International Journal of Drug Policy,0955-3959;1873-4758,Q1,2025
International Journal of Eating Disorders,0276-3478;1098-108X,Q1,2025
International Journal of Environmental Research and Public Health,1660-4601;1661-7827,Q1,2025
International Journal of Epidemiology,0300-5771;1464-3685,Q1,2025
International Journal of Food Contamination,2196-2804,Q1,2025
International Journal of Food Microbiology,0168-1605;1879-3460,Q1,2025
International Journal of Geriatric Psychiatry,0885-6230;1099-1166,Q1,2025
International Journal of Gynecological Cancer,1048-891X;1525-1438,Q1,2025
International Journal of Gynecological Pathology,0277-1691;1538-7151,Q1,2025
International Journal of Health Geographics,1476-072X,Q1,2025
International Journal of Health Policy and Management,2322-5939,Q1,2025
International Journal of Heart Failure,2636-154X;2636-1558,Q1,2025
International Journal of Hygiene and Environmental Health,1438-4639;1618-131X,Q1,2025
International Journal of Infectious Diseases,1201-9712;1878-3511,Q1,2025
International Journal of Integrated Care,1568-4156,Q1,2025
International Journal of Legal Medicine,0937-9827;1437-1596,Q1,2025
International Journal of Medical Informatics,1386-5056;1872-8243,Q1,2025
International Journal of Medical Microbiology,1438-4221;1618-0607,Q1,2025
International Journal of Medical Sciences,1449-1907,Q1,2025
International Journal of Mental Health Nursing,1445-8330;1447-0349,Q1,2025
International Journal of Mental Health Systems,1752-4458,Q1,2025
International Journal of Methods in Psychiatric Research,1049-8931;1557-0657,Q1,2025
International Journal of Molecular Medicine,1107-3756;1791-244X,Q1,2025
International Journal of Molecular Sciences,1422-0067;1661-6596,Q1,2025
International Journal of Nanomedicine,1176-9114;1178-2013,Q1,2025
International Journal of Neonatal Screening,2409-515X,Q1,2025
International Journal of Neural Systems,0129-0657;1793-6462,Q1,2025
International Journal of Neuropsychopharmacology,1461-1457;1469-5111,Q1,2025
International Journal of Obesity,0307-0565;1476-5497,Q1,2025
International Journal of Oncology,1019-6439;1791-2423,Q1,2025
International Journal of Oral and Maxillofacial Surgery,0901-5027;1399-0020,Q1,2025
International Journal of Public Health,1661-8556;1661-8564,Q1,2025
International Journal of Radiation Oncology Biology Physics,0360-3016;1879-355X,Q1,2025
International Journal of Retina and Vitreous,2056-9920,Q1,2025
International Journal of Social Psychiatry,0020-7640;1741-2854,Q1,2025
International Journal of Spine Surgery,2211-4599,Q1,2025
International Journal of Sport Nutrition and Exercise Metabolism,1526-484X;1543-2742,Q1,2025
International Journal of Sports Physical Therapy,2159-2896,Q1,2025
International Journal of Sports Physiology and Performance,1555-0265;1555-0273,Q1,2025
International Journal of Stroke,1747-4930;1747-4949,Q1,2025
International Journal of Technology Assessment in Health Care,0266-4623;1471-6348,Q1,2025
International Journal of Transgender Health,2689-5269;2689-5277,Q1,2025
International Orthopaedics,0341-2695;1432-5195,Q1,2025
International Psychogeriatrics,1041-6102;1741-203X,Q1,2025
International Reviews of Immunology,0883-0185;1563-5244,Q1,2025
International Wound Journal,1742-4801;1742-481X,Q1,2025
Internet Interventions,2214-7829,Q1,2025
Intestinal Research,1598-9100;2288-1956,Q1,2025
Investigative and Clinical Urology,2466-0493;2466-054X,Q1,2025
Investigative Ophthalmology and Visual Science,0146-0404;1552-5783,Q1,2025
Investigative Radiology,0020-9996;1536-0210,Q1,2025
Italian Journal of Pediatrics,1720-8424;1824-7288,Q1,2025
JAAD International,2666-3287,Q1,2025
JAC-Antimicrobial Resistance,2632-1823,Q1,2025
JACC: Advances,2772-963X,Q1,2025
JACC: Asia,2772-3747,Q1,2025
JACC: Basic to Translational Science,2452-302X,Q1,2025
JACC: CardioOncology,2666-0873,Q1,2025
JACC: Cardiovascular Imaging,1876-7591;1936-878X,Q1,2025
JACC: Cardiovascular Interventions,1876-7605;1936-8798,Q1,2025
JACC: Clinical Electrophysiology,2405-500X;2405-5018,Q1,2025
JACC: Heart Failure,2213-1779;2213-1787,Q1,2025
JACEP Open,2688-1152,Q1,2025
JAMA,0098-7484;1538-3598,Q1,2025
JAMA Cardiology,2380-6583;2380-6591,Q1,2025
JAMA Dermatology,2168-6068;2168-6084,Q1,2025
JAMA Health Forum,2689-0186,Q1,2025
JAMA Internal Medicine,2168-6106;2168-6114,Q1,2025
JAMA Network Open,2574-3805,Q1,2025
JAMA Neurology,2168-6149;2168-6157,Q1,2025
JAMA Oncology,2374-2437;2374-2445,Q1,2025
JAMA Ophthalmology,2168-6165;2168-6173,Q1,2025
JAMA Otolaryngology - Head and Neck Surgery,2168-6181;2168-619X,Q1,2025
JAMA Pediatrics,2168-6203;2168-6211,Q1,2025
JAMA Psychiatry,2168-622X;2168-6238,Q1,2025
JAMA Surgery,2168-6254;2168-6262,Q1,2025
JAMIA Open,2574-2531,Q1,2025
Japanese Journal of Ophthalmology,0021-5155;1613-2246,Q1,2025
Japanese Journal of Radiology,1867-1071;1867-108X,Q1,2025
JARO - Journal of the Association for Research in Otolaryngology,1438-7573;1525-3961,Q1,2025
JBJS Open Access,2472-7245,Q1,2025
JBJS Reviews,2329-9185,Q1,2025
JBMR Plus,2473-4039,Q1,2025
JCI Insight,2379-3708,Q1,2025
JCO Clinical Cancer Informatics,2473-4276,Q1,2025
JCO Oncology Practice,2688-1527;2688-1535,Q1,2025
JCO Precision Oncology,2473-4284,Q1,2025
JCPP Advances,2692-9384,Q1,2025
JHEP Reports,2589-5559,Q1,2025
JID Innovations,2667-0267,Q1,2025
JMIR Aging,2561-7605,Q1,2025
JMIR AI,2817-1705,Q1,2025
JMIR Medical Informatics,2291-9694,Q1,2025
JMIR Mental Health,2368-7959,Q1,2025
JMIR mHealth and uHealth,2291-5222,Q1,2025
JMIR Pediatrics and Parenting,2561-6722,Q1,2025
JMIR Public Health and Surveillance,2369-2960,Q1,2025
JMIR Rehabilitation and Assistive Technologies,2369-2529,Q1,2025
JMIR Serious Games,2291-9279,Q1,2025
JNCCN Journal of the National Comprehensive Cancer Network,1540-1405;1540-1413,Q1,2025
JNCI Cancer Spectrum,2515-5091,Q1,2025
Joint Bone Spine,1297-319X;1778-7254,Q1,2025
Joint Commission Journal on Quality and Patient Safety,1553-7250,Q1,2025
Joint Diseases and Related Surgery,2687-4792,Q1,2025
JOR Spine,2572-1143,Q1,2025
Jornal de Pediatria,0021-7557;1678-4782,Q1,2025
Journal for ImmunoTherapy of Cancer,2051-1426,Q1,2025
Journal of Abdominal Wall Surgery,2813-2092,Q1,2025
Journal of Acquired Immune Deficiency Syndromes (1999),1525-4135;1944-7884,Q1,2025
Journal of Addiction Medicine,1932-0620;1935-3227,Q1,2025
Journal of Adolescence,0140-1971;1095-9254,Q1,2025
Journal of Adolescent Health,1054-139X;1879-1972,Q1,2025
Journal of Affective Disorders,0165-0327;1573-2517,Q1,2025
Journal of Aging and Health,0898-2643;1552-6887,Q1,2025
Journal of Allergy and Clinical Immunology,0091-6749;1097-6825,Q1,2025
Journal of Allergy and Clinical Immunology: In Practice,2213-2198;2213-2201,Q1,2025
Journal of Alzheimer's Disease,1387-2877;1875-8908,Q1,2025
Journal of American College Health,0744-8481,Q1,2025
Journal of Anatomy,0021-8782;1469-7580,Q1,2025
Journal of Anesthesia,0913-8668;1438-8359,Q1,2025
"Journal of Anesthesia, Analgesia and Critical Care",2731-3786,Q1,2025
Journal of Antimicrobial Chemotherapy,0305-7453;1460-2091,Q1,2025
Journal of Anxiety Disorders,0887-6185;1873-7897,Q1,2025
Journal of Applied Physiology,1522-1601;8750-7587,Q1,2025
Journal of Arthroplasty,0883-5403;1532-8406,Q1,2025
Journal of Assisted Reproduction and Genetics,1058-0468;1573-7330,Q1,2025
Journal of Asthma and Allergy,1178-6965,Q1,2025
Journal of Atherosclerosis and Thrombosis,1340-3478;1880-3873,Q1,2025
Journal of Athletic Training,1062-6050;1938-162X,Q1,2025
Journal of Autoimmunity,0896-8411;1095-9157,Q1,2025
Journal of Behavioral Addictions,2062-5871;2063-5303,Q1,2025
Journal of Biological Rhythms,0748-7304;1552-4531,Q1,2025
Journal of Biomechanics,0021-9290;1873-2380,Q1,2025
Journal of Biomedical Informatics,1532-0464;1532-0480,Q1,2025
Journal of Biomedical Science,1021-7770;1423-0127,Q1,2025
Journal of Bone and Joint Surgery,0021-9355;1535-1386,Q1,2025
Journal of Bone and Mineral Research,0884-0431;1523-4681,Q1,2025
Journal of Bone Metabolism,2287-6375;2287-7029,Q1,2025
"Journal of Cachexia, Sarcopenia and Muscle",2190-5991;2190-6009,Q1,2025
Journal of Cancer Research and Clinical Oncology,0171-5216;1432-1335,Q1,2025
Journal of Cannabis Research,2522-5782,Q1,2025
Journal of Cardiac Failure,1071-9164;1532-8414,Q1,2025
Journal of Cardiology,0914-5087;1876-4738,Q1,2025
Journal of Cardiopulmonary Rehabilitation and Prevention,1932-7501;1932-751X,Q1,2025
Journal of Cardiovascular Aging,2768-5993,Q1,2025
Journal of Cardiovascular Computed Tomography,1876-861X;1934-5925,Q1,2025
Journal of Cardiovascular Electrophysiology,1045-3873;1540-8167,Q1,2025
Journal of Cardiovascular Magnetic Resonance,1097-6647;1532-429X,Q1,2025
Journal of Cataract and Refractive Surgery,0886-3350;1873-4502,Q1,2025
Journal of Cell Biology,0021-9525;1540-8140,Q1,2025
Journal of Cerebral Blood Flow and Metabolism,0271-678X;1559-7016,Q1,2025
Journal of Child and Adolescent Trauma,1936-1521;1936-153X,Q1,2025
Journal of Child Health Care,1367-4935;1741-2889,Q1,2025
Journal of Child Psychology and Psychiatry and Allied Disciplines,0021-9630;1469-7610,Q1,2025
Journal of Climate Change and Health,2667-2782,Q1,2025
Journal of Clinical and Translational Hepatology,2225-0719;2310-8819,Q1,2025
Journal of Clinical and Translational Science,2059-8661,Q1,2025
Journal of Clinical Anesthesia,0952-8180;1873-4529,Q1,2025
Journal of Clinical Endocrinology and Metabolism,0021-972X;1945-7197,Q1,2025
Journal of Clinical Epidemiology,0895-4356;1878-5921,Q1,2025
Journal of Clinical Immunology,0271-9142;1573-2592,Q1,2025
Journal of Clinical Investigation,0021-9738;1558-8238,Q1,2025
Journal of Clinical Lipidology,1876-4789;1933-2874,Q1,2025
Journal of Clinical Microbiology,0095-1137;1098-660X,Q1,2025
Journal of Clinical Nursing,0962-1067;1365-2702,Q1,2025
Journal of Clinical Oncology,0732-183X;1527-7755,Q1,2025
Journal of Clinical Pathology,0021-9746;1472-4146,Q1,2025
Journal of Clinical Psychiatry,0160-6689;1555-2101,Q1,2025
Journal of Clinical Sleep Medicine,1550-9389;1550-9397,Q1,2025
Journal of Clinical Virology,1386-6532;1873-5967,Q1,2025
Journal of Cognition and Development,1524-8372;1532-7647,Q1,2025
Journal of Community Health,0094-5145;1573-3610,Q1,2025
Journal of Consulting and Clinical Psychology,0022-006X;1939-2117,Q1,2025
Journal of Cosmetic Dermatology,1473-2130;1473-2165,Q1,2025
Journal of Counseling Psychology,0022-0167;1939-2168,Q1,2025
Journal of Critical Care,0883-9441;1557-8615,Q1,2025
Journal of Crohn's and Colitis,1873-9946;1876-4479,Q1,2025
Journal of Cutaneous Medicine and Surgery,1203-4754;1615-7109,Q1,2025
Journal of Cystic Fibrosis,1569-1993;1873-5010,Q1,2025
Journal of Dermatological Science,0923-1811;1873-569X,Q1,2025
Journal of Dermatological Treatment,0954-6634;1471-1753,Q1,2025
Journal of Dermatology,0385-2407;1346-8138,Q1,2025
Journal of Diabetes,1753-0393;1753-0407,Q1,2025
Journal of Diabetes Investigation,2040-1116;2040-1124,Q1,2025
Journal of Diabetes Science and Technology,1932-2968,Q1,2025
Journal of Eating Disorders,2050-2974,Q1,2025
Journal of Emotional and Behavioral Disorders,1063-4266;1538-4799,Q1,2025
Journal of Endocrinology,0022-0795;1479-6805,Q1,2025
Journal of Endometriosis and Uterine Disorders,2949-8384,Q1,2025
Journal of Endourology,0892-7790;1557-900X,Q1,2025
Journal of Endovascular Therapy,1526-6028;1545-1550,Q1,2025
Journal of Environmental Exposure Assessment,2771-5949,Q1,2025
Journal of Environmental Management,0301-4797;1095-8630,Q1,2025
Journal of Environmental Sciences (China),1001-0742;1878-7320,Q1,2025
Journal of Epidemiology,0917-5040;1349-9092,Q1,2025
Journal of Epidemiology and Community Health,0143-005X;1470-2738,Q1,2025
Journal of Epidemiology and Global Health,2210-6006;2210-6014,Q1,2025
Journal of Ethnobiology and Ethnomedicine,1746-4269,Q1,2025
Journal of Evidence-Based Integrative Medicine,2515-690X,Q1,2025
Journal of Evidence-Based Medicine,1756-5383;1756-5391,Q1,2025
Journal of Exercise Science and Fitness,1728-869X,Q1,2025
Journal of Experimental and Clinical Cancer Research,0392-9078;1756-9966,Q1,2025
Journal of Experimental Medicine,0022-1007;1540-9538,Q1,2025
Journal of Experimental Orthopaedics,2197-1153,Q1,2025
Journal of Experimental Psychology: General,0096-3445;1939-2222,Q1,2025
Journal of Experimental Psychology: Human Perception and Performance,0096-1523;1939-1277,Q1,2025
Journal of Exposure Science and Environmental Epidemiology,1559-0631;1559-064X,Q1,2025
Journal of Extracellular Vesicles,2001-3078,Q1,2025
Journal of Family Nursing,1074-8407;1552-549X,Q1,2025
Journal of Foot and Ankle Surgery,1067-2516;1542-2224,Q1,2025
Journal of Frailty and Aging,2260-1341;2273-4309,Q1,2025
Journal of Functional Morphology and Kinesiology,2411-5142,Q1,2025
Journal of Gastric Cancer,2093-5641;2093-582X,Q1,2025
Journal of Gastroenterology,0944-1174;1435-5922,Q1,2025
Journal of Gastroenterology and Hepatology (Australia),0815-9319;1440-1746,Q1,2025
Journal of Gastrointestinal Surgery,1091-255X;1873-4626,Q1,2025
Journal of General Internal Medicine,0884-8734;1525-1497,Q1,2025
Journal of Geriatric Physical Therapy,1539-8412;2152-0895,Q1,2025
Journal of Ginseng Research,1226-8453;2093-4947,Q1,2025
Journal of Glaucoma,1057-0829;1536-481X,Q1,2025
Journal of Global Health,2047-2978;2047-2986,Q1,2025
Journal of Graduate Medical Education,1949-8349;1949-8357,Q1,2025
Journal of Gynecologic Oncology,2005-0380;2005-0399,Q1,2025
Journal of Hand Surgery,0363-5023;1531-6564,Q1,2025
Journal of Hand Surgery: European Volume,1753-1934;2043-6289,Q1,2025
Journal of Head Trauma Rehabilitation,0885-9701;1550-509X,Q1,2025
Journal of Headache and Pain,1129-2369;1129-2377,Q1,2025
Journal of Health and Social Behavior,0022-1465;2150-6000,Q1,2025
Journal of Health Economics,0167-6296;1879-1646,Q1,2025
Journal of Health Monitoring,2511-2708,Q1,2025
"Journal of Health Politics, Policy and Law",0361-6878;1527-1927,Q1,2025
Journal of Health Services Research and Policy,1355-8196;1758-1060,Q1,2025
"Journal of Health, Population and Nutrition",1606-0997;2072-1315,Q1,2025
Journal of Healthcare Leadership,1179-3201,Q1,2025
Journal of Heart and Lung Transplantation,1053-2498;1557-3117,Q1,2025
Journal of Hematology and Oncology,1756-8722,Q1,2025
Journal of Hepato-Biliary-Pancreatic Sciences,1868-6974;1868-6982,Q1,2025
Journal of Hepatology,0168-8278;1600-0641,Q1,2025
Journal of Hospital Infection,0195-6701;1532-2939,Q1,2025
Journal of Human Hypertension,0950-9240;1476-5527,Q1,2025
Journal of Human Kinetics,1640-5544;1899-7562,Q1,2025
Journal of Human Nutrition and Dietetics,0952-3871;1365-277X,Q1,2025
Journal of Hypertension,0263-6352;1473-5598,Q1,2025
Journal of Imaging Informatics in Medicine,2948-2933,Q1,2025
Journal of Immigrant and Minority Health,1557-1912;1557-1920,Q1,2025
Journal of Immunology,0022-1767;1550-6606,Q1,2025
Journal of Immunology Research,2314-7156;2314-8861,Q1,2025
Journal of Immunotherapy and Precision Oncology,2590-017X;2666-2345,Q1,2025
Journal of Infection,0163-4453;1532-2742,Q1,2025
Journal of Infection and Public Health,1876-0341;1876-035X,Q1,2025
Journal of Infectious Diseases,0022-1899;1537-6613,Q1,2025
Journal of Inherited Metabolic Disease,0141-8955;1573-2665,Q1,2025
Journal of Innate Immunity,1662-811X;1662-8128,Q1,2025
Journal of Integrative Environmental Sciences,1943-815X;1943-8168,Q1,2025
Journal of Integrative Medicine,2095-4964,Q1,2025
Journal of Intellectual Disability Research,0964-2633;1365-2788,Q1,2025
Journal of Intensive Care,2052-0492,Q1,2025
Journal of Intensive Medicine,2097-0250;2667-100X,Q1,2025
Journal of Internal Medicine,0954-6820;1365-2796,Q1,2025
Journal of Interprofessional Care,1356-1820;1469-9567,Q1,2025
Journal of Investigative Dermatology,0022-202X;1523-1747,Q1,2025
Journal of ISAKOS,2059-7754;2059-7762,Q1,2025
Journal of Knee Surgery,1538-8506;1938-2480,Q1,2025
Journal of Law and the Biosciences,2053-9711,Q1,2025
Journal of Lipid and Atherosclerosis,2287-2892;2288-2561,Q1,2025
Journal of Liver Cancer,2288-8128;2383-5001,Q1,2025
Journal of Magnetic Resonance Imaging,1053-1807;1522-2586,Q1,2025
Journal of Managed Care and Specialty Pharmacy,2376-0540;2376-1032,Q1,2025
Journal of Materials Chemistry B,2050-750X;2050-7518,Q1,2025
Journal of Medical Ethics,0306-6800;1473-4257,Q1,2025
Journal of Medical Genetics,0022-2593;1468-6244,Q1,2025
Journal of Medical Internet Research,1438-8871;1439-4456,Q1,2025
Journal of Medical Screening,0969-1413;1475-5793,Q1,2025
Journal of Medical Systems,0148-5598;1573-689X,Q1,2025
Journal of Medical Virology,0146-6615;1096-9071,Q1,2025
Journal of Mental Health,0963-8237;1360-0567,Q1,2025
"Journal of Microbiology, Immunology and Infection",1684-1182;1995-9133,Q1,2025
Journal of Migration and Health,2666-6235,Q1,2025
Journal of Molecular and Cellular Cardiology,0022-2828;1095-8584,Q1,2025
Journal of Molecular Cell Biology,1674-2788;1759-4685,Q1,2025
Journal of Molecular Diagnostics,1525-1578;1943-7811,Q1,2025
Journal of Molecular Medicine,0946-2716;1432-1440,Q1,2025
Journal of Nanobiotechnology,1477-3155,Q1,2025
Journal of Natural Products,0163-3864;1520-6025,Q1,2025
Journal of Neural Transmission,0300-9564;1435-1463,Q1,2025
Journal of Neurodevelopmental Disorders,1866-1947;1866-1955,Q1,2025
Journal of Neuroendocrinology,0953-8194;1365-2826,Q1,2025
Journal of NeuroEngineering and Rehabilitation,1743-0003,Q1,2025
Journal of Neurogastroenterology and Motility,2093-0879;2093-0887,Q1,2025
Journal of Neuroimaging,1051-2284;1552-6569,Q1,2025
Journal of Neuroimmune Pharmacology,1557-1890;1557-1904,Q1,2025
Journal of NeuroInterventional Surgery,1759-8478;1759-8486,Q1,2025
Journal of Neurologic Physical Therapy,1557-0576;1557-0584,Q1,2025
Journal of Neurology,0340-5354;1432-1459,Q1,2025
"Journal of Neurology, Neurosurgery and Psychiatry",0022-3050;1468-330X,Q1,2025
Journal of Neuromuscular Diseases,2214-3599;2214-3602,Q1,2025
Journal of Neuropathology and Experimental Neurology,0022-3069;1554-6578,Q1,2025
Journal of Neuroradiology,0150-9861;1773-0406,Q1,2025
Journal of Neurorestoratology,2324-2426,Q1,2025
Journal of Neurosurgery,0022-3085;1933-0693,Q1,2025
Journal of Neurosurgery: Pediatrics,1933-0707;1933-0715,Q1,2025
Journal of Neurosurgery: Spine,1547-5646;1547-5654,Q1,2025
Journal of Neurosurgical Anesthesiology,0898-4921;1537-1921,Q1,2025
Journal of Neurotrauma,0897-7151;1557-9042,Q1,2025
Journal of Nuclear Medicine,0161-5505;1535-5667,Q1,2025
Journal of Nutrition,0022-3166;1541-6100,Q1,2025
"Journal of Nutrition, Health and Aging",1279-7707;1760-4788,Q1,2025
Journal of Nutritional Biochemistry,0955-2863;1873-4847,Q1,2025
Journal of Obesity,2090-0708;2090-0716,Q1,2025
Journal of Obesity and Metabolic Syndrome,2508-6235;2508-7576,Q1,2025
Journal of Occupational Health Psychology,1076-8998;1939-1307,Q1,2025
Journal of Occupational Rehabilitation,1053-0487;1573-3688,Q1,2025
Journal of Oral and Maxillofacial Surgery,0278-2391;1531-5053,Q1,2025
Journal of Oral Microbiology,2000-2297,Q1,2025
Journal of Oral Pathology and Medicine,0904-2512;1600-0714,Q1,2025
Journal of Orthopaedic and Sports Physical Therapy,0190-6011;1938-1344,Q1,2025
Journal of Orthopaedic Surgery and Research,1749-799X,Q1,2025
Journal of Orthopaedic Translation,2214-031X,Q1,2025
Journal of Orthopaedic Trauma,0890-5339;1531-2291,Q1,2025
Journal of Orthopaedics and Traumatology,1590-9921;1590-9999,Q1,2025
Journal of Otolaryngology - Head and Neck Surgery,1916-0208;1916-0216,Q1,2025
Journal of Ovarian Research,1757-2215,Q1,2025
Journal of Pain,1526-5900;1528-8447,Q1,2025
Journal of Pain and Symptom Management,0885-3924;1873-6513,Q1,2025
Journal of Parkinson's Disease,1877-7171;1877-718X,Q1,2025
Journal of Pathology,0022-3417;1096-9896,Q1,2025
Journal of Pathology and Translational Medicine,2383-7837;2383-7845,Q1,2025
Journal of Pathology Informatics,2153-3539;2229-5089,Q1,2025
Journal of Pathology: Clinical Research,2056-4538,Q1,2025
Journal of Pediatric Gastroenterology and Nutrition,0277-2116;1536-4801,Q1,2025
Journal of Pediatric Psychology,0146-8693;1465-735X,Q1,2025
Journal of Pediatric Surgery,0022-3468;1531-5037,Q1,2025
Journal of Pediatric Urology,1477-5131;1873-4898,Q1,2025
Journal of Pediatrics,0022-3476;1097-6833,Q1,2025
Journal of Perinatology,0743-8346;1476-5543,Q1,2025
Journal of Personality Assessment,0022-3891;1532-7752,Q1,2025
Journal of Personalized Medicine,2075-4426,Q1,2025
Journal of Pharmacy and Pharmaceutical Sciences,1482-1826,Q1,2025
Journal of Physiological Anthropology,1880-6791;1880-6805,Q1,2025
Journal of Physiology and Biochemistry,1138-7548;1877-8755,Q1,2025
"Journal of Plastic, Reconstructive and Aesthetic Surgery",1748-6815;1878-0539,Q1,2025
Journal of Positive Behavior Interventions,1098-3007;1538-4772,Q1,2025
Journal of Prevention of Alzheimer's Disease,2274-5807;2426-0266,Q1,2025
Journal of Preventive Medicine and Public Health,1975-8375;2233-4521,Q1,2025
Journal of Primary Care and Community Health,2150-1319;2150-1327,Q1,2025
Journal of Professional Nursing,1532-8481;8755-7223,Q1,2025
Journal of Prosthetic Dentistry,0022-3913;1097-6841,Q1,2025
Journal of Psychiatric and Mental Health Nursing,1351-0126;1365-2850,Q1,2025
Journal of Psychiatric Research,0022-3956;1879-1379,Q1,2025
Journal of Psychiatry and Neuroscience,1180-4882;1488-2434,Q1,2025
Journal of Psychopathology and Clinical Science,2769-7541;2769-755X,Q1,2025
Journal of Psychopharmacology,0269-8811;1461-7285,Q1,2025
Journal of Psychosomatic Obstetrics and Gynecology,0167-482X;1743-8942,Q1,2025
Journal of Quantitative Criminology,0748-4518;1573-7799,Q1,2025
Journal of Racial and Ethnic Health Disparities,2196-8837;2197-3792,Q1,2025
Journal of Reconstructive Microsurgery,0743-684X;1098-8947,Q1,2025
